Date ,Close 
14-Jan-10,20.89
15-Jan-10,21.06
18-Jan-10,21.64
19-Jan-10,22.01
20-Jan-10,22.25
21-Jan-10,24.17
22-Jan-10,25.4
25-Jan-10,25.81
27-Jan-10,29.2
28-Jan-10,26.93
29-Jan-10,26.65
01-Feb-10,26.17
02-Feb-10,26.05
03-Feb-10,26.23
04-Feb-10,26.56
05-Feb-10,29.96
06-Feb-10,29.18
08-Feb-10,31.33
09-Feb-10,29.91
10-Feb-10,30.61
11-Feb-10,29.14
15-Feb-10,29.67
16-Feb-10,28.92
17-Feb-10,27.75
18-Feb-10,28.42
19-Feb-10,30.45
22-Feb-10,31.8
23-Feb-10,31.09
24-Feb-10,30.55
25-Feb-10,29.71
26-Feb-10,25.24
02-Mar-10,22.82
03-Mar-10,21.3
04-Mar-10,21.24
05-Mar-10,21
08-Mar-10,20.82
09-Mar-10,20.96
10-Mar-10,20.25
11-Mar-10,20.53
12-Mar-10,19.82
15-Mar-10,20.43
16-Mar-10,20.17
17-Mar-10,19.04
18-Mar-10,19.26
19-Mar-10,18.94
22-Mar-10,20.21
23-Mar-10,18.42
25-Mar-10,17.84
26-Mar-10,18.23
29-Mar-10,19.48
30-Mar-10,19.9
31-Mar-10,19.83
01-Apr-10,18.09
05-Apr-10,17.5
06-Apr-10,17.3
07-Apr-10,17.5
08-Apr-10,19.58
09-Apr-10,18.6
12-Apr-10,19.97
13-Apr-10,20.1
15-Apr-10,21.43
16-Apr-10,21.63
19-Apr-10,22.72
20-Apr-10,20.82
21-Apr-10,19.78
22-Apr-10,20.53
23-Apr-10,20.35
26-Apr-10,19.82
27-Apr-10,19.82
28-Apr-10,22.73
29-Apr-10,21.09
30-Apr-10,20.29
03-May-10,22.11
04-May-10,23.7
05-May-10,24.85
06-May-10,24.23
07-May-10,27.31
10-May-10,25.62
11-May-10,25.59
12-May-10,25.69
13-May-10,24.54
14-May-10,26.18
17-May-10,26.93
18-May-10,26.43
19-May-10,29.99
20-May-10,30.04
21-May-10,31.27
24-May-10,30.84
25-May-10,34.37
26-May-10,32.29
27-May-10,29.62
28-May-10,26.22
31-May-10,26.43
01-Jun-10,28.6
02-Jun-10,28.06
03-Jun-10,25.4
04-Jun-10,25.02
07-Jun-10,28.27
08-Jun-10,28.79
09-Jun-10,28.09
10-Jun-10,26.73
11-Jun-10,25.06
14-Jun-10,23.23
15-Jun-10,21.95
16-Jun-10,22.22
17-Jun-10,21.66
18-Jun-10,20.52
21-Jun-10,19.91
22-Jun-10,20.58
23-Jun-10,20.3
24-Jun-10,19.81
25-Jun-10,20.19
28-Jun-10,19.71
29-Jun-10,20.68
30-Jun-10,21.11
01-Jul-10,21.74
02-Jul-10,21.89
05-Jul-10,21.98
06-Jul-10,20.9
07-Jul-10,22.11
08-Jul-10,21.15
09-Jul-10,20.22
12-Jul-10,19.9
13-Jul-10,19.12
14-Jul-10,20.07
15-Jul-10,20.11
16-Jul-10,19.7
19-Jul-10,20.71
20-Jul-10,20.38
21-Jul-10,20
22-Jul-10,18.9
23-Jul-10,19.24
26-Jul-10,19.97
27-Jul-10,19.22
28-Jul-10,19.52
29-Jul-10,18.33
30-Jul-10,18.94
02-Aug-10,17.99
03-Aug-10,17.55
04-Aug-10,17.04
05-Aug-10,17.71
06-Aug-10,17.37
09-Aug-10,17
10-Aug-10,17.33
11-Aug-10,18.11
12-Aug-10,18
13-Aug-10,16.74
16-Aug-10,18.11
17-Aug-10,17.63
18-Aug-10,16.4
19-Aug-10,16.53
20-Aug-10,16.7
23-Aug-10,17.14
24-Aug-10,16.99
25-Aug-10,18.92
26-Aug-10,17.09
27-Aug-10,19.63
30-Aug-10,18.36
31-Aug-10,18.47
01-Sep-10,16.7
02-Sep-10,16.15
03-Sep-10,15.86
06-Sep-10,15.22
07-Sep-10,15.83
08-Sep-10,15.97
09-Sep-10,15.92
13-Sep-10,18.14
14-Sep-10,18.6
15-Sep-10,19.43
16-Sep-10,18.85
17-Sep-10,19.49
20-Sep-10,21.95
21-Sep-10,22.63
22-Sep-10,24.29
23-Sep-10,23.9
24-Sep-10,21.71
27-Sep-10,22.36
28-Sep-10,21.21
29-Sep-10,22.16
30-Sep-10,22.25
01-Oct-10,21.43
04-Oct-10,22.8
05-Oct-10,22.17
06-Oct-10,21.73
07-Oct-10,22.45
08-Oct-10,21.4
11-Oct-10,21.2
12-Oct-10,20.51
13-Oct-10,20.02
14-Oct-10,20.6
15-Oct-10,22.65
18-Oct-10,22.35
19-Oct-10,23.23
20-Oct-10,23.8
21-Oct-10,22.19
22-Oct-10,21.61
25-Oct-10,21.36
26-Oct-10,20.55
27-Oct-10,21.02
28-Oct-10,20.52
29-Oct-10,20.76
01-Nov-10,20.92
02-Nov-10,21.25
03-Nov-10,21.53
04-Nov-10,19.36
05-Nov-10,19.22
08-Nov-10,19.61
09-Nov-10,18.75
10-Nov-10,19.08
11-Nov-10,19.36
12-Nov-10,21.63
15-Nov-10,20.25
16-Nov-10,21.13
18-Nov-10,20.62
19-Nov-10,21.6
22-Nov-10,19.93
23-Nov-10,23.26
24-Nov-10,24.68
25-Nov-10,21.63
26-Nov-10,22.58
29-Nov-10,21.31
30-Nov-10,20.71
01-Dec-10,19.2
02-Dec-10,18.8
03-Dec-10,18.6
06-Dec-10,19.37
07-Dec-10,19.24
08-Dec-10,20.43
09-Dec-10,22.6
10-Dec-10,21.63
13-Dec-10,22.57
14-Dec-10,21.46
15-Dec-10,21.42
16-Dec-10,20.24
20-Dec-10,20.78
21-Dec-10,19.77
22-Dec-10,19.56
23-Dec-10,19.03
24-Dec-10,17.65
27-Dec-10,18.45
28-Dec-10,18.13
29-Dec-10,17.13
30-Dec-10,17.02
31-Dec-10,16.56
06-Jan-11,18.2
07-Jan-11,20.82
10-Jan-11,23.16
11-Jan-11,22.33
12-Jan-11,21.41
13-Jan-11,23.15
14-Jan-11,23.81
17-Jan-11,23.57
18-Jan-11,21.46
19-Jan-11,21.09
20-Jan-11,21.01
21-Jan-11,21.03
24-Jan-11,20.17
25-Jan-11,20.78
27-Jan-11,22.09
28-Jan-11,22.58
31-Jan-11,23.41
01-Feb-11,23.73
02-Feb-11,23.52
03-Feb-11,22.69
04-Feb-11,24.41
07-Feb-11,24.69
08-Feb-11,24.74
09-Feb-11,25.24
10-Feb-11,24.82
11-Feb-11,23.47
14-Feb-11,22.58
15-Feb-11,22.85
16-Feb-11,23.05
17-Feb-11,22.57
18-Feb-11,24.18
21-Feb-11,24.91
